"content_id","genre_id"
1,9
1,1
1,6
2,1
2,11
2,6
3,9
3,1
4,3
4,11
4,6
5,3
5,5
5,9
6,3
6,16
6,17
7,10
7,1
7,2
8,3
8,11
9,11
9,3
9,6
10,3
10,7
11,11
11,3
12,11
12,3
13,9
13,3
14,9
14,1
14,2
16,3
16,6
16,10
17,10
17,2
18,10
18,2
19,10
19,2
20,1
20,2
20,9
21,1
21,2
21,9
22,1
22,2
22,9
23,3
23,5
23,6
24,3
24,6
24,19
25,3
25,11
25,16
26,11
26,6
26,3
27,3
27,9
27,6
28,3
28,11
28,6
29,3
29,11
29,10
30,3
30,6
30,11
31,9
31,3
32,3
32,11
32,6
33,9
33,2
33,1
34,1
34,6
34,3
35,5
35,3
36,3
36,5
36,6
37,3
37,16
38,3
38,4
39,3
39,4
40,3
40,4
41,6
42,1
43,6
44,5
45,3
46,1
47,5
48,7
49,3
50,1
51,3
52,7
53,3
54,1
55,4
56,4
57,7
58,1
59,6
60,5
61,5
62,13
63,13
64,13
65,13
66,13
67,13
68,11
69,13
70,1
71,9
72,9
73,3
74,11
75,3
76,11
79,6
80,3
81,3
82,5
85,16
86,3
87,9
88,3
89,1
90,3
91,3
92,4
93,1
94,9
95,5
96,1
97,5
98,5
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,7
107,16
108,16
109,16
110,16
111,3
111,4
112,1
112,6
113,7
113,4
114,11
114,6
115,3
115,7
115,14
116,3
116,7
117,4
117,7
118,3
118,7
118,14
119,4
119,6
120,7
120,4
121,3
121,14
121,4
122,16
122,15
122,3
123,3
123,10
123,4
124,16
124,3
125,4
125,7
126,4
126,7
127,1
127,6
127,3
128,3
128,7
128,14
129,3
129,11
129,4
130,3
130,11
130,4
131,3
131,14
132,3
132,14
133,3
133,11
133,6
134,3
134,7
135,3
135,14
136,3
136,17
137,3
137,10
138,4
138,10
139,7
139,14
140,3
140,14
