"language_id","language_name"
1,"Pashto"
2,"Albanian"
3,"Arabic"
4,"Catalan"
5,"Portuguese"
6,"English"
7,"Spanish"
8,"Armenian"
9,"German"
10,"Azerbaijani"
11,"Russian"
12,"Dutch"
13,"French"
14,"Dzongkha"
15,"Bosnian"
16,"Croatian"
17,"Serbian"
18,"Malay"
19,"Bulgarian"
20,"Khmer"
21,"Mandarin"
22,"Greek"
23,"Czech"
24,"Danish"
25,"Estonian"
26,"Swati"
27,"Amharic"
28,"Finnish"
29,"Georgian"
30,"Hungarian"
31,"Icelandic"
32,"Hindi"
33,"Bengali"
34,"Indonesian"
35,"Persian"
36,"Hebrew"
37,"Italian"
38,"Japanese"
39,"Kazakh"
40,"Swahili"
41,"Korean"
42,"Kyrgyz"
43,"Lao"
44,"Latvian"
45,"Lithuanian"
46,"Luxembourgish"
47,"Malagasy"
48,"Chichewa"
49,"Dhivehi"
50,"Maltese"
51,"Romanian"
52,"Mongolian"
53,"Macedonian"
54,"Norwegian"
55,"Urdu"
56,"Tok Pisin"
57,"Filipino"
58,"Polish"
59,"Kinyarwanda"
60,"Slovak"
61,"Slovene"
62,"Somali"
63,"Zulu"
64,"Sinhala"
65,"Tamil"
66,"Thai"
67,"Tetum"
68,"Tajik"
69,"Bislama"
70,"Vietnamese"
